number,description,rgbCode
292,Golden Brown VY LT,9431295
293,Golden Yellow LT,7133432
295,Golden Yellow Med LT,4378358
305,Topaz VY LT,6867197
297,Golden Yellow Med,700913
298,Golden Yellow DK,1287927
288,Lemon LT,7533823
289,Lemon Med,5629434
290,Lemon DK,1623036
291,Canary Yellow Bright,504049
275,Off White,13564159
386,Yellow Ultra VY LT,13235450
300,Yellow VY LT,11265788
301,Burnt Orange VY LT,8179199
302,Burnt Orange LT,5420543
303,Burnt Orange Med,1283327
304,Burnt Orange,33765
313,Tangerine LT,5871607
314,Tangerine Med,3375350
316,Tangerine DK,292082
803,Citrus,2580702
925,Tangerine vy,220912
323,Orange Spice LT,5209576
328,Peach Med,6718459
329,Peach DK,4618491
330,Orange,1994742
332,Orange DK,938721
333,Orange VY DK,346324
334,Orange Red VY DK,15562
335,Orange Red,1587666
891,Old Gold LT,6865399
890,Old Gold Med,3245507
901,Old Gold DK,24480
308,Topaz Med,482482
309,Topaz Med DK,17559
310,Topaz VY DK,15229
306,Gold,3513843
307,Topaz LT,1540310
361,Tan VY LT,9945575
311,Tangerine VY LT,6926570
363,Golden Brown LT,4686777
365,Golden Brown Med,1525876
372,Tan,7118786
373,Tan Med DK,3826312
374,Tan DK,1262189
375,Hazelnut Brown Med,930645
944,Tan VY DK,866936
942,Tan LT,8563673
943,Tan Med,4747685
362,Tan Med LT,6524597
367,Coffee LT,9483481
368,Coffee,7245755
1045,Golden Brown Med LT,3962277
1046,Golden Brown Med DK,1722999
1002,Golden Brown VY LT,4290781
1001,Golden Brown,2577319
1003,Salmon,2382001
324,Orange Spice Med,3434462
326,Orange Spice DK,2051254
1004,Orange Spice VY DK,1718918
340,Mahogany Med DK,1194142
276,Coffee Ultra VY LT,12508905
366,Coffee VY LT,11388641
369,Coffee Med LT,3956107
370,Coffee Med,2049915
371,Coffee Med DK,1784419
881,Cream DK,9616355
347,Chocolate LT,8431059
349,Chocolate Med,3233684
355,Chocolate Med DK,2244465
357,Chocolate DK,1125467
1047,Copper LT,7248605
1048,Copper Med,3499948
1049,Copper Med DK,1854089
351,Copper DK,930662
352,Copper VY DK,927833
1009,Cream,13100031
933,Dusty Flesh VY LT,13096681
378,Dusty Flesh Med,6780322
379,Dusty Flesh DK,5925010
936,Dusty Flesh VY DK,2700112
358,Coffee DK,1784162
359,Coffee VY DK,1322837
360,Black Brown Med,796492
380,Black Brown Med DK,664130
381,Black Brown DK,399926
382,Black Brown VY DK,5168
1080,Taupe UL LT,10733547
1082,Taupe Med LT,9219786
1084,Taupe,6719913
1086,Taupe DK,5403793
1088,Taupe VY DK,1984877
1011,Peach Flesh VY LT,12901104
1012,Flesh,10796017
868,Peach Flesh,7374547
9575,Terracotta LT,7442150
1013,Terracotta,5007288
5975,Terracotta DK,1718415
1014,Mahogany VY DK,10130
1010,Copper VY LT,12311295
336,Mahogany Ultra VY LT,8298227
337,Mahogany VY LT,6192096
338,Mahogany LT,4481484
339,Mahogany,2247348
341,Mahogany DK,995724
778,Flesh VY LT,10335456
882,Antique Mahogany LT,8756966
883,Antique Mahogany,5928392
884,Antique Mahogany DK,3624077
880,Cream Med,10797285
4146,Flesh LT,9215448
1008,Flesh Med,7439798
914,Flesh DK,5991331
1007,Flesh VY DK,4345720
376,Dusty Flesh LT,11582948
892,Shell Pink VY LT,13622260
893,Shell Pink LT,11053783
894,Shell Pink Med LT,9540305
895,Shell Pink Med,7500985
1027,Shell Pink Med DK,5000849
896,Shell Pink,3486574
1019,Antique Mauve DK,3417960
897,Shell Pink VY DK,602
1026,Dusty Violet VY LT,13882098
1021,Dusty Rose VY LT,10195939
1022,Dusty Rose LT,9142755
1023,Dusty Rose,6971585
1024,Dusty Rose Med,5063852
1025,Dusty Rose DK,3221390
1015,Mahogany Ultra VY DK,1382550
6,Peach VY LT,11649791
8,Peach LT,9481469
9,Coral VY LT,8227052
10,Coral LT,7699689
11,Coral Med,5199832
13,Coral DK,2230
31,Pink Bright LT,9272558
33,Pink Bright,9796090
35,Pink Bright DK,6308046
1098,Crimson lt,2699999
46,Crimson Red,9427
47,Carmine Red,7333
9046,Christmas Red,1451966
