number,description,rgbCode
B5200,Snow White ,16775930
BLANC,White ,16579836
ECRUT,Ecru ,12902125
1,Light Grey,12961221
2,Grey,11250603
3,Steel Grey,9473936
4,Dark Grey,6579303
5,Light Brown,12108232
6,Beige,9675444
7,Brown,6581626
8,Brown DK,5266281
9,Brown V DK,3618888
10,Manilla,12111566
11,Yellow/Green pale,10343125
12,Cabbage,6538700
13,Spearmint,12045992
14,Cabbage LT,10733765
15,Mint Creme,8439229
16,Ivy,6993328
17,Nutmeg LT,7063252
18,Yellow/Green Med,5482422
19,Terracotta Pale,9091040
20,Flesh,10927067
21,Sunburn,6978232
22,Venison,3685768
23,Rose Water,14670568
24,Lilac Pale,14997984
25,Lilac,14404304
26,Hyacinth,13742267
27,Lilac aged,14210265
28,Indigrey,10516609
29,Purple DK,6175817
30,Purple Mid,11569546
31,Violet aged,10314341
32,Indigo dark,8737622
33,Maroon,9325448
34,Maroon Med,7352442
35,Maroon DK,4925272
150,Rose Ultra V DK Dusty ,3674769
151,Dusty Rose very light,12232946
152,Shell Pink medium li,8749772
153,Violet very light ,12885713
154,Grape very light ,2823992
155,Blue Violet medium dk,11232630
156,Blue Violet medium lt,11763059
157,Cornflower Blue very,13282197
158,Cornflower Blue medium,6631472
159,Grey Blue light ,12953239
160,Grey Blue medium ,10253670
161,Grey Blue ,8739919
162,Blue ultra very light,13681058
163,Celadon Green medium,5992772
164,Forest Green light ,7913351
165,Moss Green very light,6670797
166,Moss Green medium light,2138017
167,Yellow Beige very dark,3826829
168,Pewter very light ,12039083
169,Pewter light ,8026736
208,Lavender very dark ,9848194
209,Lavender dark ,11758758
210,Lavender medium ,13472190
211,Lavender light ,14923222
221,Shell Pink very dark,2696045
223,Shell Pink light ,6642867
224,Shell Pink very light,9146324
225,Shell Pink ultra ver,12436725
300,Mahogany very dark ,2109027
301,Mahogany medium ,2443161
304,Christmas Red medium,2687130
307,Lemon ,1629947
309,Rose deep ,4071597
310,Black ,0
311,Navy Blue medium ,5255200
312,Navy Blue light ,7291427
315,Antique Mauve dark ,4339823
316,Antique Mauve medium,8350383
317,Pewter Grey ,6313039
318,Steel Grey light ,9865088
319,Pistachio Green very,2900005
320,Pistachio Green medium,5930842
321,Christmas Red ,2425004
322,Baby Blue dark ,10184256
326,Rose very deep ,3674790
327,Violet,6172254
333,Blue Violet very dark,8861263
334,Baby Blue medium ,10909002
335,Rose ,6571220
336,Navy Blue ,5188640
340,Blue Violet medium ,12482172
341,Blue Violet light ,13344402
347,Salmon very dark ,3154086
349,Coral dark ,2694333
350,Coral medium ,3421396
351,Coral ,4607456
352,Coral light ,6648818
353,Peach ,9676542
355,Terra Cotta dark ,2895496
356,Terra Cotta medium ,4542381
367,Pistachio Green dark,4679232
368,Pistachio Green light,7775355
369,Pistachio Green very,10343617
370,Mustard medium ,4025986
371,Mustard ,4684431
372,Mustard light ,6394787
400,Mahogany dark ,2175861
402,Mahogany very light ,5999080
407,Clay Brown (3773),6320817
413,Pewter Grey dark ,4670013
414,Steel Grey dark ,7891812
415,Pearl Grey ,11642527
420,Hazel Nut Brown dark,3432590
422,Hazel Nut Brown ligh,6001596
433,Brown medium ,2308196
434,Brown light ,2442880
435,Brown very light ,3432867
436,Tan ,4881593
437,Tan light ,6986961
444,Lemon dark ,47600
445,Lemon light ,8058359
451,Shell Grey dark ,7105658
452,Shell Grey medium ,9145247
453,Shell Grey light ,10923455
469,Avocado Green ,2318167
470,Avocado Green light ,3176554
471,Avocado Green very lt,5545357
472,Avocado Green ultra ,6339515
498,Christmas Red dark ,2424968
500,Blue Green very dark,3554597
501,Blue Green dark ,4871222
502,Blue Green ,6649172
503,Blue Green medium ,9149571
505,Jade Green ,4350252
517,Wedgewood dark ,9528099
518,Wedgewood light ,10781757
519,Sky Blue ,13152632
520,Fern Green dark ,3426106
522,Fern Green ,6258034
523,Fern Green light ,7575438
524,Fern Green very light,8692378
535,Ash Grey very light ,4606795
543,Beige Brown ultra,11388901
550,Violet very dark,4921415
552,Violet medium ,8468603
553,Violet ,9588626
554,Violet light ,12815300
561,Jade very dark ,4478249
562,Jade medium ,5930042
563,Jade light ,9220461
564,Jade very light ,10733963
580,Moss Green dark ,2121564
581,Moss Green ,2718585
597,Turquoise ,10457677
598,Turquoise light ,11907706
600,Cranberry very dark ,4653231
601,Cranberry dark ,5708742
602,Cranberry medium ,7155927
603,Cranberry ,9195497
604,Cranberry light ,11369206
605,Cranberry very light,12687614
606,Burnt Orange-Red ,2103528
608,Burnt Orange ,2441983
610,Drab Brown dark ,3164768
611,Drab Brown ,4020848
612,Drab Brown light ,5931417
613,Drab Brown very light,7181996
632,Desert Sand ultra ve,3423602
640,Beige Grey very dark,5203058
642,Beige Grey dark ,6520204
644,Beige Grey medium ,9744570
645,Beaver Grey very dark,4677204
646,Beaver Grey dark ,5858153
647,Beaver Grey medium ,7371645
648,Beaver Grey light ,9148568
666,Christmas Red bright,2293961
676,Old Gold light ,6927590
677,Old Gold very light ,9359338
680,Old Gold dark ,3437478
699,Christmas Green ,4022016
700,Christmas Green bright,4091904
701,Christmas Green light,3699469
702,Kelly Green ,4097332
703,Chartreuse ,4630368
704,Chartreuse bright ,4500856
712,Cream ,13822195
718,Plum ,7282855
720,Orange Spice dark ,1786578
721,Orange Spice medium ,2907378
722,Orange Spice light ,4883199
725,Topaz ,4242172
726,Topaz light ,4707583
727,Topaz very light ,7464191
728,Golden Yellow ,4042223
729,Old Gold medium ,4229570
730,Olive Green very dark,2116951
732,Olive Green (731),2120809
733,Olive Green medium ,3180184
734,Olive Green light ,4693424
738,Tan very light ,7907797
739,Tan ultra very light,10931693
740,Tangerine (971) ,1797375
741,Tangerine medium ,2132223
742,Tangerine light ,2336255
743,Yellow medium ,4704511
744,Yellow pale ,8052479
745,Yellow light pale ,9035775
746,Off White ,13103610
747,Sky Blue very light ,14801837
754,Peach light ,9875700
758,Terra Cotta very light,8032731
760,Salmon ,8354021
761,Salmon light ,11052021
762,Pearl Grey very light,13551044
772,Yellow Green very light,9951938
775,Baby Blue very light,14405556
777,Raspberry very dark ,2887032
778,Antique Mauve very lt,10392777
779,Cocoa dark ,3553364
780,Topaz ultra very dark,2312844
782,Topaz dark (781),2123180
783,Topaz medium ,2917584
791,Cornflower Blue very,6301998
792,Cornflower Blue dark,8535610
793,Cornflower Blue medium,9921620
794,Cornflower Blue light,12094064
796,Royal Blue dark ,7351076
797,Royal Blue ,8141353
798,Delft Blue dark ,10706749
799,Delft Blue medium ,11893587
800,Delft Blue pale ,13939342
801,Coffee Brown dark ,2372439
803,Baby Blue ultra very,6305312
807,Peacock Blue dark,13078637
809,Delft Blue ,12292700
813,Blue - LT,14140065
814,Garnet dark ,2429787
815,Garnet medium ,2297200
816,Garnet ,2888585
817,Coral Red very dark ,1772966
818,Baby Pink ,13816063
819,Baby Pink light ,14343935
820,Royal Blue very dark,6496288
822,Beige Grey light ,12244704
823,Navy Blue dark ,3810080
824,Blue very dark ,7421467
825,Blue dark ,8802075
826,Blue medium ,10578736
827,Blue very light ,13677703
828,Blue ultra very light,13945254
829,Golden Olive very dark,2114143
830,Golden Olive dark ,2313065
831,Golden Olive medium ,2448504
832,Golden Olive ,2913946
833,Golden Olive light ,4099504
834,Golden Olive very light,5285319
838,Beige Brown very dark,2699333
839,Beige Brown dark ,3423573
840,Beige Brown medium ,4873343
841,Beige Brown light ,6518939
842,Beige Brown very light,8888255
844,Beaver Grey ultra dark,3554621
869,Hazel Nut Brown very,2443120
890,Pistachio Green ultra,2307611
891,Carnation dark ,4599023
892,Carnation medium ,5454068
893,Carnation light ,7163387
894,Carnation very light,10124543
895,Hunter Green very dark,2440485
898,Coffee Brown very dark,2305610
899,Rose medium ,8546027
900,Burnt Orange dark ,2307270
902,Garnet very dark ,3022939
904,Parrot Green very dark,2449204
905,Parrot Green dark ,2322749
906,Parrot Green medium ,2329434
907,Parrot Green light ,2336391
909,Emerald Green very dk,4220160
910,Emerald Green dark ,4946432
911,Emerald Green medium,5474304
912,Emerald Green light ,6724656
913,Nile Green medium ,7909197
915,Plum dark ,3997814
917,Plum medium ,5970833
918,Red Copper dark ,2305659
919,Red Copper ,2107793
920,Copper medium ,2440612
921,Copper ,3034556
922,Copper light ,3826647
924,Grey Green very dark,4669993
926,Grey Green medium ,7895137
927,Grey Green light ,9935496
928,Grey Green very light,11646379
930,Antique Blue dark ,5916208
931,Antique Blue medium ,8546899
932,Antique Blue light ,10915701
934,Black Avocado Green ,2438190
935,Avocado Green dark ,2899254
936,Avocado Green very dk,2311234
937,Avocado Green medium,2708550
938,Coffee Brown ultra dk,2304317
939,Navy Blue very dark ,2890523
943,Aquamarine medium ,7966464
945,Tawny medium ,9417454
946,Burnt Orange medium ,1850869
947,Burnt Orange ,1788671
948,Peach very light ,12703229
950,Desert Sand light ,9678047
951,Tawny light ,11128567
954,Nile Green ,8896108
955,Nile Green light ,11066519
956,Geranium ,7488761
957,Geranium pale ,10648831
958,Sea Green dark ,8886272
959,Sea Green medium ,10333488
961,Dusty Rose dark ,7293913
962,Dusty Rose medium ,8807652
963,Dusty Rose ultra,12892927
964,Sea Green light ,12701045
966,Baby Green medium ,9355149
967,Apricot very light ,11124479
970,Pumpkin light ,2385663
972,Canary deep ,42239
973,Canary bright ,53247
975,Golden Brown dark ,2112121
976,Golden Brown medium ,2910916
977,Golden Brown light ,4031462
986,Forest Green very dark,2904101
987,Forest Green dark ,3827266
988,Forest Green medium ,4489306
989,Forest Green ,5542508
991,Aquamarine dark ,5265421
992,Aquamarine medium ,8426294
993,Aquamarine light ,9481045
995,Electric Blue dark ,12349184
996,Electric Blue medium,14784256
3011,Khaki Green dark ,3168348
3012,Khaki Green medium ,4223869
3013,Khaki Green light ,6987683
3021,Brown Grey very dark,3029062
3022,Brown Grey medium ,6255219
3023,Brown Grey light ,7769491
3024,Brown Grey very ligh,10465465
3031,Mocha Brown very dark,2436674
3032,Mocha Brown medium ,6915734
3033,Mocha Brown very lig,10927570
3041,Antique Violet mediu,6640754
3042,Antique Violet light,9272470
3045,Yellow Beige dark ,4617887
3046,Yellow Beige medium ,6728133
3047,Yellow Beige light ,9554395
3051,Green Grey dark ,3034438
3052,Green Grey medium ,5536881
3053,Green Grey ,6919819
3064,Desert Sand ,5862328
3072,Beaver Grey very light,12502722
3078,Golden Yellow very lt,9956346
3325,Baby Blue light ,14203022
3326,Rose light (776),10916855
