number,description,rgbCode
311,White,16316664
316,Soft white,15987699
313,Aran,15134960
312,Black,0
3950,Charcoal,5322302
400,Grey Heather,7369330
341,Light Grey,13485503
378,Claret,1182248
365,Coffee,1316642
360,Cafe Latte,0
336,Warm Brown,3104123
334,Buff,10734806
376,Burgundy,1704525
319,Cherry Red,1114236
390,Hot Red,1180081
718,Shocking Pink,8396732
774,Light Raspberry,9004474
726,Coral,4807872
722,Pretty n Pink,11558138
373,Petal Pink,14335989
345,Baby Pink,14866169
3251,Flame,590060
256,Carrot,3302603
254,Pumpkin,883418
776,Dark Orchid,3804971
528,Medium Purple,9586538
356,Amethyst,7405612
358,Lavender,12279410
530,Orchid,12877481
579,Pale Plum,14068412
321,Gold,698317
324,Bright Yellow,2814696
322,Pale Yellow,13106425
235,Lemon,7989493
320,Cornmeal,10283247
387,Soft Navy,5184536
5851,Denim,6566700
380,Windsor Blue,4862501
385,Royal Blue,7806234
886,Blue,10107428
885,Delft Blue,12084036
347,Light Periwinkle,13275001
382,Country Blue,12561549
381,Light Blue,15056552
512,Turquoise,14397018
389,Hunter Green,1980191
406,Medium Thyme,3032897
631,Light Sage,7113330
624,Tea Leaf,4624233
661,Frosty Green,8957343
656,Real Teal,5852946
368,Paddy Green,2841102
3862,Jade,9076240
505,Aruba Sea,11908986
3620,Glow Worm,9950822
672,Spring Green,4511635
668,Honey Dew,11983552
